Change,Country
-1.22,1
6.53,2
4.19,3
1.35,4
1.35,5
3.42,6
2.69,7
2.67,8
4.19,9
2.69,10
-7.55,11
-4.72,12
4.19,13
-3.43,14
0.14,15
-2.80,16
3.42,17
-4.91,18
0.14,19
-3.43,20
-2.80,21
-4.91,22
0.14,23
0.14,24
-2.80,25
-1.07,26
6.53,27
0.14,28
0.14,29
-2.60,30
-0.22,31
-2.60,32
1.35,33
-3.43,34
-4.91,35
-3.43,36
-1.22,37
-4.91,38
4.19,39
-6.32,40
-3.43,41
-6.32,42
1.35,43
-2.60,44
0.14,45
0.14,46
-4.91,47
0.14,48
-4.91,49
-4.91,50
-4.91,51
4.19,52
0.14,53
1.35,54
0.14,55
-4.91,56
4.19,57
-1.07,58
4.19,59
0.00,60
-2.60,61
0.14,62
0.14,63
-2.60,64
-2.60,65
-2.60,66
-4.91,67
-4.91,68
-4.10,69
-1.95,70
-1.22,71
-1.22,72
4.19,73
1.35,74
4.19,75
-1.07,76
-2.60,77
1.95,78
-1.22,79
-0.60,80
1.40,81
1.95,82
1.95,83
-1.22,84
2.69,85
-2.80,86
-4.91,87
-1.22,88
-1.22,89
0.14,90
-1.22,91
-4.91,92
4.19,93
4.19,94
0.14,95
0.14,96
-1.95,97
0.14,98
0.14,99
-0.09,100
-4.91,101
-0.22,102
0.14,103
0.14,104
-7.55,105
0.14,106
-7.55,107
4.19,108
3.75,109
-2.60,110
0.14,111
-6.07,112
-4.91,113
-1.22,114
-3.78,115
-6.32,116
-1.95,117
-2.60,118
-2.60,119
-1.95,120
-4.91,121
4.19,122
-3.43,123
-1.22,124
-4.91,125
-3.19,126
0.14,127
-1.22,128
-1.07,129
0.14,130
-4.91,131
-4.91,132
0.14,133
-1.07,134
4.19,135
-7.55,136
0.14,137
-6.32,138
0.14,139
-4.91,140
4.19,141
-1.22,142
-0.22,143
2.69,144
0.14,145
2.75,146
0.14,147
-2.60,148
0.14,149
2.69,150
2.69,151
0.14,152
-3.14,153
-1.22,154
4.19,155
4.08,156
3.42,157
2.69,158
-2.60,159
-2.80,160
0.14,161
-1.22,162
1.40,163
1.40,164
1.40,165